127.0.0.1 - - [01/May/2019:08:49:26 +0200] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [01/May/2019:08:49:27 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [01/May/2019:08:49:27 +0200] "GET /Project-Map/theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:08:49:27 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4439
0:0:0:0:0:0:0:1 - - [01/May/2019:08:49:27 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:08:49:27 +0200] "GET /Project-Map/traffic.json HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2019:09:00:18 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [01/May/2019:09:00:18 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4442
0:0:0:0:0:0:0:1 - - [01/May/2019:09:02:30 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [01/May/2019:09:02:30 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [01/May/2019:09:04:08 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 1157
0:0:0:0:0:0:0:1 - - [01/May/2019:09:04:08 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4371
127.0.0.1 - - [01/May/2019:10:40:45 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:40:45 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:40:45 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:40:45 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:41:31 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:41:31 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:41:32 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:41:32 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:42:40 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:42:40 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:42:40 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:10:42:40 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:02:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:02:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:02:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:02:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:05:13 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:05:13 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:05:13 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:05:13 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:06:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:06:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:06:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:06:44 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:07:10 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:07:10 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:07:10 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
127.0.0.1 - - [01/May/2019:11:07:10 +0200] "GET /Project-Map/reseau.json HTTP/1.1" 200 383921
