127.0.0.1 - - [28/Apr/2019:23:27:13 +0200] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:27:15 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:27:15 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:27:15 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 962
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:36:15 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:36:15 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:36:15 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:37:19 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:37:19 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 1046
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:37:19 +0200] "GET /Project-Map/jquery-3.3.1.js HTTP/1.1" 200 271751
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:37:19 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 200 4686
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:37:31 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:43:31 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:43:31 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 1041
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:43:31 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:46:45 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:46:45 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 1028
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:46:45 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:55:06 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 970
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:55:06 +0200] "GET /Project-Map/theme.css HTTP/1.1" 200 854
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:55:06 +0200] "GET /Project-Map/Metro.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:55:42 +0200] "GET /Project-Map/map.jsp HTTP/1.1" 200 965
0:0:0:0:0:0:0:1 - - [28/Apr/2019:23:55:42 +0200] "GET /Project-Map/theme.css HTTP/1.1" 304 -
